,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,800,GL,1531883443,89,77.48,-69.36,37.59,2.95
1,Seguela,500,CI,1531883443,89,7.96,-6.67,73.59,9.44
2,Hilo,803,US,1531878960,66,19.71,-155.08,84.2,5.82
3,Castro,800,CL,1531883444,100,-42.48,-73.76,31.47,5.75
4,Summerville,500,US,1531882500,94,33.02,-80.17,78.8,3.36
5,Ribeira Grande,803,PT,1531883444,100,38.52,-28.7,72.24,12.57
6,Gafanha da Encarnacao,802,PT,1531882800,93,40.62,-8.73,62.6,3.36
7,Rumonge,800,BI,1531883444,100,-3.97,29.44,67.65,5.19
8,Sorland,803,NO,1531883288,88,67.67,12.69,57.3,15.93
9,Tokmak,801,UA,1531883445,72,47.26,35.7,67.56,9.22
10,Port Hedland,802,AU,1531882800,17,-20.31,118.58,82.4,8.05
11,Hofn,500,IS,1531883237,100,64.25,-15.21,48.57,7.31
12,Chuy,500,UY,1531883392,94,-33.69,-53.46,59.64,18.5
13,Ushuaia,800,AR,1531879200,100,-54.81,-68.31,32.0,5.82
14,Yakovlevskoye,803,RU,1531881000,82,55.46,36.94,69.8,8.95
15,Bambous Virieux,802,MU,1531879200,64,-20.34,57.76,69.8,12.75
16,Carnarvon,802,ZA,1531883446,67,-30.97,22.13,46.41,10.0
17,Puerto Ayora,803,EC,1531883229,100,-0.74,-90.35,71.97,13.8
18,Sahuaripa,500,MX,1531883446,99,29.05,-109.23,67.83,1.28
19,Aktau,800,KZ,1531881000,69,43.65,51.16,75.2,4.47
20,Butaritari,802,KI,1531883447,100,3.07,172.79,83.76,4.41
21,Tasiilaq,800,GL,1531882200,75,65.61,-37.64,41.0,6.93
22,Santander,803,PH,1531882800,66,9.42,123.33,89.6,9.17
23,Khakhea,800,BW,1531883447,79,-24.69,23.5,36.15,6.2
24,Lovington,800,US,1531882500,28,32.94,-103.35,82.4,8.05
25,Durazno,500,UY,1531883448,96,-33.38,-56.52,57.39,7.2
26,Rikitea,804,PF,1531883448,100,-23.12,-134.97,70.44,23.87
27,Khatanga,501,RU,1531883448,92,71.98,102.47,58.65,25.88
28,Tagab,800,AF,1531882200,61,34.85,69.65,77.0,4.7
29,Bonavista,800,CA,1531883274,76,48.65,-53.11,61.62,16.49
30,Ahipara,800,NZ,1531883449,78,-35.17,173.16,60.99,5.3
31,Busselton,500,AU,1531883394,100,-33.64,115.35,61.71,18.28
32,Port Lincoln,800,AU,1531883449,76,-34.72,135.86,61.98,27.11
33,Abha,800,SA,1531879200,37,18.22,42.5,66.2,2.17
34,Cherskiy,801,RU,1531883450,55,68.75,161.3,47.04,10.45
35,Maragogi,500,BR,1531883221,100,-9.01,-35.22,72.06,10.0
36,Sawakin,800,SD,1531883450,76,19.1,37.33,83.49,4.97
37,Lorengau,500,PG,1531883450,100,-2.02,147.27,80.34,3.06
38,Arraial do Cabo,800,BR,1531883450,94,-22.97,-42.02,71.34,17.16
39,Meiganga,501,CM,1531883451,98,6.52,14.29,63.87,2.73
40,Lensk,800,RU,1531883451,75,60.71,114.91,60.81,4.74
41,Port Elizabeth,701,US,1531882500,100,39.31,-74.98,75.2,7.54
42,Rawson,803,AR,1531883451,93,-43.3,-65.11,35.7,3.96
43,Vanavara,800,RU,1531883452,59,60.35,102.28,65.94,6.76
44,Nemencine,800,LT,1531882200,88,54.85,25.48,66.2,9.17
45,Nakhon Thai,500,TH,1531879200,100,17.1,100.84,80.6,3.36
46,Sinnamary,803,GF,1531883337,96,5.38,-52.96,81.24,13.02
47,Iqaluit,500,CA,1531879200,93,63.75,-68.52,37.4,3.36
48,Homer,800,US,1531882380,76,59.64,-151.54,60.8,13.87
49,Avarua,803,CK,1531882800,78,-21.21,-159.78,77.0,12.75
50,Coari,800,BR,1531883453,91,-4.09,-63.14,76.02,3.96
51,Winnemucca,800,US,1531882560,12,40.97,-117.74,91.4,5.82
52,Atuona,800,PF,1531883218,100,-9.8,-139.03,79.8,16.82
53,Mataura,801,NZ,1531883212,87,-46.19,168.86,53.79,5.64
54,Hithadhoo,803,MV,1531883453,100,-0.6,73.08,78.81,3.4
55,Cabo San Lucas,804,MX,1531878420,74,22.89,-109.91,80.6,8.43
56,Berlevag,800,NO,1531883172,85,70.86,29.09,60.09,2.73
57,Lebu,803,ET,1531883454,91,8.96,38.73,47.04,2.62
58,Gernsbach,800,DE,1531882800,93,48.76,8.34,62.6,5.82
59,Verkhoyansk,800,RU,1531883454,48,67.55,133.39,48.21,7.87
60,East London,803,ZA,1531883455,100,-33.02,27.91,67.11,21.07
61,Albany,803,US,1531882440,60,42.65,-73.75,73.4,8.05
62,Tessalit,800,ML,1531883455,22,20.2,1.01,71.79,2.84
63,Turochak,804,RU,1531883455,65,52.26,87.12,67.56,3.29
64,Lata,803,IN,1531883455,100,30.78,78.62,63.33,0.6
65,Bluff,800,AU,1531883456,31,-23.58,149.07,74.04,4.63
66,Laguna,804,MX,1531878300,62,27.52,-110.01,86.0,5.82
67,Cody,800,US,1531882560,59,44.53,-109.06,66.2,9.17
68,Bubaque,501,GW,1531883318,100,11.28,-15.83,74.67,7.76
69,San Carlos de Bariloche,803,AR,1531879200,80,-41.13,-71.31,35.6,5.82
70,Hermanus,500,ZA,1531883213,85,-34.42,19.24,47.49,2.51
71,Paris,800,FR,1531882800,55,48.86,2.35,64.4,5.82
72,Punta Arenas,801,CL,1531879200,92,-53.16,-70.91,26.6,5.82
73,Abu Zabad,802,SD,1531883458,92,12.35,29.25,72.51,9.78
74,La Seyne-sur-Mer,800,FR,1531882800,82,43.1,5.88,68.0,4.7
75,Provideniya,300,RU,1531881000,100,64.42,-173.23,42.8,15.66
76,Cayenne,800,GF,1531881000,100,4.94,-52.33,75.2,2.24
77,Kaitangata,800,NZ,1531883237,80,-46.28,169.85,52.89,3.96
78,Vestmannaeyjar,802,IS,1531883327,97,63.44,-20.27,47.76,6.2
79,Kapaa,804,US,1531878960,66,22.08,-159.32,84.2,8.05
80,Takab,804,IR,1531883459,55,36.4,47.11,63.51,2.84
81,Alim,500,NG,1531883459,100,7.18,7.33,71.07,1.83
82,Isangel,800,VU,1531883459,100,-19.55,169.27,72.69,12.46
83,Barrow,501,AR,1531883460,99,-38.31,-60.23,46.32,14.14
84,Lavrentiya,804,RU,1531883216,93,65.58,-170.99,43.08,22.86
85,Genhe,803,CN,1531883460,87,50.78,121.52,72.15,3.96
86,Hambantota,500,LK,1531883460,100,6.12,81.12,79.44,14.47
87,Tuktoyaktuk,803,CA,1531880280,81,69.44,-133.03,42.8,13.87
88,Yellowknife,802,CA,1531879200,59,62.45,-114.38,66.2,12.75
89,Cape Town,800,ZA,1531879200,81,-33.93,18.42,51.8,2.24
90,Dikson,500,RU,1531883233,100,73.51,80.55,38.22,27.78
91,Terrace,520,CA,1531879200,68,54.52,-128.61,68.0,8.05
92,Upernavik,803,GL,1531883252,100,72.79,-56.15,36.6,12.91
93,Port Macquarie,800,AU,1531882800,27,-31.43,152.91,73.4,5.82
94,Antofagasta,804,CL,1531879200,71,-23.65,-70.4,57.2,11.41
95,Fayaoue,802,NC,1531883462,100,-20.65,166.53,70.89,11.45
96,Muroto,801,JP,1531879200,70,33.37,134.14,86.0,6.93
